,Age (decade),Education Years,Income,Gender,Income Binary
23392,30.0,7, <=50K, Female,0
32530,30.0,>12, >50K, Female,1
9678,20.0,9, <=50K, Male,0
30366,20.0,9, <=50K, Male,0
20333,60.0,>12, <=50K, Female,0
14782,50.0,9, <=50K, Female,0
14517,40.0,9, <=50K, Male,0
29810,10.0,7, <=50K, Male,0
21769,30.0,9, <=50K, Male,0
20829,60.0,11, >50K, Female,1
17639,50.0,10, <=50K, Female,0
29963,30.0,10, <=50K, Female,0
26869,20.0,>12, <=50K, Female,0
15504,20.0,>12, <=50K, Male,0
9178,30.0,>12, <=50K, Male,0
24790,50.0,>12, >50K, Male,1
17009,20.0,9, <=50K, Male,0
1162,30.0,>12, >50K, Male,1
15025,30.0,7, <=50K, Male,0
20044,60.0,9, <=50K, Male,0
19245,40.0,8, <=50K, Male,0
15019,20.0,>12, <=50K, Male,0
95,20.0,10, <=50K, Male,0
21096,20.0,10, <=50K, Male,0
17245,50.0,9, >50K, Male,1
13452,20.0,10, <=50K, Female,0
20689,30.0,10, <=50K, Male,0
20174,20.0,9, <=50K, Male,0
3381,30.0,>12, >50K, Male,1
26405,60.0,>12, >50K, Male,1
28078,50.0,<6, <=50K, Male,0
2100,40.0,>12, >50K, Female,1
17597,40.0,>12, >50K, Male,1
30633,10.0,7, <=50K, Male,0
10380,30.0,10, <=50K, Male,0
28572,10.0,6, <=50K, Male,0
5554,50.0,6, <=50K, Male,0
18722,30.0,>12, <=50K, Male,0
32092,30.0,>12, >50K, Male,1
23325,40.0,9, <=50K, Male,0
3340,20.0,9, <=50K, Male,0
9566,40.0,7, <=50K, Male,0
8269,60.0,>12, <=50K, Female,0
30313,20.0,10, <=50K, Female,0
29537,40.0,>12, <=50K, Male,0
13739,20.0,10, <=50K, Female,0
8710,50.0,>12, >50K, Male,1
9050,40.0,9, >50K, Male,1
14635,20.0,>12, <=50K, Male,0
3657,30.0,>12, >50K, Male,1
7051,30.0,>12, >50K, Male,1
18186,50.0,9, <=50K, Male,0
11176,30.0,9, >50K, Male,1
22012,20.0,10, <=50K, Male,0
29334,20.0,10, <=50K, Female,0
9475,40.0,10, <=50K, Female,0
11092,40.0,>12, >50K, Male,1
23954,30.0,>12, <=50K, Female,0
23530,10.0,10, <=50K, Female,0
5092,30.0,10, <=50K, Male,0
28652,50.0,>12, >50K, Male,1
9686,50.0,10, >50K, Male,1
24712,20.0,9, <=50K, Female,0
31828,40.0,>12, >50K, Male,1
26424,20.0,9, <=50K, Male,0
23844,50.0,>12, >50K, Male,1
3954,40.0,9, <=50K, Male,0
15786,30.0,9, <=50K, Male,0
21315,20.0,>12, >50K, Female,1
12387,30.0,<6, <=50K, Male,0
15310,10.0,7, <=50K, Female,0
20997,30.0,9, <=50K, Female,0
30132,20.0,10, <=50K, Female,0
21293,30.0,9, <=50K, Male,0
4150,30.0,9, <=50K, Male,0
32075,20.0,>12, <=50K, Female,0
30349,40.0,9, <=50K, Male,0
30302,20.0,>12, >50K, Male,1
1155,30.0,10, <=50K, Male,0
17923,40.0,9, <=50K, Female,0
27734,30.0,>12, <=50K, Male,0
25532,40.0,9, >50K, Male,1
12193,60.0,9, <=50K, Male,0
17632,40.0,9, <=50K, Female,0
26419,20.0,>12, >50K, Male,1
21068,30.0,10, >50K, Female,1
28802,20.0,9, <=50K, Female,0
26989,50.0,10, <=50K, Male,0
24485,60.0,<6, >50K, Male,1
20003,>=70,12, <=50K, Female,0
16904,40.0,6, <=50K, Female,0
15957,20.0,10, <=50K, Female,0
9571,40.0,10, <=50K, Female,0
2177,60.0,9, <=50K, Female,0
21967,20.0,10, <=50K, Female,0
2998,30.0,9, <=50K, Male,0
24574,20.0,10, <=50K, Male,0
28173,40.0,>12, >50K, Female,1
21519,20.0,9, <=50K, Male,0
3638,20.0,9, <=50K, Male,0
7722,10.0,8, <=50K, Male,0
5655,40.0,10, <=50K, Male,0
19452,30.0,>12, <=50K, Male,0
4078,10.0,10, <=50K, Male,0
8738,30.0,10, <=50K, Female,0
1828,10.0,10, <=50K, Female,0
11074,50.0,9, >50K, Male,1
11876,50.0,9, <=50K, Male,0
20882,50.0,9, <=50K, Male,0
12065,60.0,10, <=50K, Male,0
1460,40.0,9, >50K, Male,1
26700,20.0,9, <=50K, Male,0
20905,20.0,>12, <=50K, Female,0
1236,30.0,9, <=50K, Female,0
22005,20.0,9, >50K, Female,1
27886,50.0,9, >50K, Male,1
7541,30.0,9, <=50K, Male,0
2369,30.0,<6, <=50K, Male,0
17918,40.0,9, <=50K, Male,0
22924,30.0,11, >50K, Male,1
29117,30.0,10, >50K, Male,1
31252,40.0,10, >50K, Male,1
15589,30.0,>12, <=50K, Male,0
14288,50.0,9, >50K, Male,1
20889,50.0,10, >50K, Female,1
26323,60.0,9, >50K, Male,1
22602,50.0,>12, <=50K, Female,0
27153,30.0,9, <=50K, Female,0
10592,30.0,9, <=50K, Female,0
24207,30.0,11, <=50K, Male,0
25597,60.0,7, <=50K, Male,0
28182,20.0,9, <=50K, Male,0
1392,50.0,9, <=50K, Female,0
28365,50.0,9, <=50K, Male,0
3959,30.0,10, >50K, Male,1
16188,50.0,>12, >50K, Male,1
10674,30.0,>12, <=50K, Male,0
20232,40.0,>12, <=50K, Female,0
19448,20.0,9, <=50K, Male,0
28901,50.0,9, <=50K, Male,0
15502,20.0,10, <=50K, Female,0
9767,30.0,>12, <=50K, Male,0
7529,60.0,9, >50K, Male,1
11702,40.0,9, <=50K, Male,0
30136,10.0,7, <=50K, Male,0
8477,20.0,10, <=50K, Female,0
9414,60.0,10, <=50K, Male,0
3874,20.0,10, <=50K, Male,0
28598,40.0,9, <=50K, Male,0
22753,20.0,10, <=50K, Female,0
26182,40.0,>12, >50K, Male,1
18578,30.0,9, <=50K, Female,0
22540,40.0,9, <=50K, Male,0
27078,30.0,<6, <=50K, Male,0
12750,20.0,12, <=50K, Female,0
12323,30.0,>12, <=50K, Male,0
8354,30.0,6, <=50K, Male,0
4895,30.0,9, <=50K, Male,0
9621,20.0,10, <=50K, Female,0
8666,20.0,9, >50K, Male,1
27880,30.0,10, <=50K, Female,0
20861,50.0,9, <=50K, Male,0
4617,30.0,11, <=50K, Male,0
31559,30.0,9, >50K, Male,1
24754,20.0,10, <=50K, Male,0
5395,20.0,>12, <=50K, Female,0
5177,60.0,10, <=50K, Female,0
16566,20.0,>12, <=50K, Male,0
1577,20.0,10, <=50K, Male,0
17151,40.0,7, <=50K, Male,0
31636,40.0,>12, <=50K, Female,0
13063,20.0,10, <=50K, Male,0
6238,30.0,9, <=50K, Female,0
3434,50.0,9, <=50K, Female,0
8283,30.0,11, >50K, Male,1
21496,20.0,10, <=50K, Female,0
27249,20.0,10, <=50K, Male,0
16347,40.0,>12, <=50K, Male,0
19157,20.0,9, <=50K, Male,0
156,20.0,>12, <=50K, Male,0
2054,20.0,9, <=50K, Female,0
21353,10.0,9, <=50K, Female,0
336,30.0,9, <=50K, Male,0
14104,>=70,>12, >50K, Male,1
19474,50.0,>12, >50K, Male,1
15385,30.0,9, <=50K, Male,0
25838,20.0,>12, >50K, Male,1
20400,20.0,9, <=50K, Female,0
30425,30.0,9, <=50K, Male,0
27002,30.0,9, >50K, Male,1
3559,50.0,>12, >50K, Male,1
1846,20.0,10, <=50K, Female,0
27933,30.0,7, <=50K, Male,0
23710,20.0,9, <=50K, Female,0
24706,30.0,9, <=50K, Male,0
6069,30.0,9, <=50K, Male,0
22415,20.0,>12, <=50K, Female,0
20820,30.0,9, >50K, Male,1
11895,30.0,9, <=50K, Male,0
25029,30.0,9, <=50K, Male,0
30538,30.0,9, <=50K, Male,0
12638,50.0,7, <=50K, Female,0
9056,20.0,<6, <=50K, Male,0
9960,10.0,9, <=50K, Male,0
3425,20.0,12, <=50K, Male,0
20912,40.0,10, <=50K, Male,0
19639,40.0,9, <=50K, Female,0
3447,50.0,8, <=50K, Male,0
19060,50.0,9, <=50K, Female,0
30862,50.0,>12, <=50K, Male,0
14546,30.0,>12, >50K, Male,1
16761,40.0,11, <=50K, Male,0
31717,30.0,9, <=50K, Male,0
29583,40.0,10, <=50K, Male,0
9296,30.0,12, <=50K, Male,0
30627,>=70,6, <=50K, Male,0
19280,40.0,9, >50K, Female,1
29407,40.0,9, >50K, Male,1
18913,30.0,9, >50K, Male,1
23250,30.0,9, <=50K, Female,0
21994,20.0,9, <=50K, Male,0
30657,40.0,>12, >50K, Male,1
8325,50.0,>12, >50K, Male,1
21025,10.0,9, <=50K, Female,0
21563,30.0,>12, <=50K, Male,0
32457,30.0,>12, >50K, Male,1
29687,40.0,11, <=50K, Female,0
30441,50.0,6, <=50K, Male,0
27406,30.0,9, >50K, Male,1
21431,30.0,9, <=50K, Female,0
18174,30.0,6, <=50K, Male,0
16938,40.0,>12, >50K, Male,1
28897,30.0,>12, <=50K, Male,0
31331,40.0,12, >50K, Male,1
10401,50.0,<6, <=50K, Female,0
15564,30.0,10, <=50K, Female,0
2633,50.0,>12, >50K, Male,1
8338,30.0,9, <=50K, Male,0
7566,20.0,11, <=50K, Male,0
4630,30.0,8, <=50K, Male,0
29193,40.0,9, <=50K, Male,0
16791,20.0,9, <=50K, Male,0
27939,50.0,10, >50K, Male,1
29351,60.0,9, >50K, Male,1
15432,30.0,10, <=50K, Male,0
26177,60.0,10, <=50K, Female,0
30703,30.0,10, <=50K, Male,0
23380,30.0,9, >50K, Male,1
31707,30.0,11, <=50K, Male,0
921,20.0,10, <=50K, Male,0
22819,30.0,10, <=50K, Female,0
20182,10.0,7, <=50K, Male,0
6111,30.0,>12, >50K, Male,1
3920,>=70,10, <=50K, Male,0
3161,20.0,9, <=50K, Male,0
23206,20.0,9, <=50K, Male,0
23109,10.0,7, <=50K, Male,0
5335,40.0,12, <=50K, Female,0
25563,40.0,9, <=50K, Female,0
2842,30.0,>12, <=50K, Male,0
7458,20.0,10, <=50K, Female,0
366,50.0,10, <=50K, Male,0
1743,30.0,>12, <=50K, Female,0
21276,40.0,<6, <=50K, Male,0
28943,20.0,10, <=50K, Female,0
12280,20.0,10, <=50K, Female,0
7499,30.0,10, >50K, Male,1
18056,20.0,10, <=50K, Male,0
25118,50.0,>12, <=50K, Male,0
20627,30.0,9, <=50K, Male,0
28565,20.0,10, <=50K, Male,0
13838,20.0,10, <=50K, Female,0
1948,20.0,>12, <=50K, Male,0
27034,30.0,>12, <=50K, Male,0
2016,30.0,>12, <=50K, Male,0
22104,30.0,10, <=50K, Male,0
29673,10.0,7, <=50K, Female,0
10690,40.0,>12, <=50K, Female,0
29379,30.0,9, <=50K, Male,0
18485,50.0,10, <=50K, Male,0
19128,40.0,11, <=50K, Male,0
30784,50.0,9, <=50K, Male,0
8900,20.0,9, <=50K, Male,0
27642,>=70,>12, <=50K, Male,0
15074,40.0,>12, >50K, Male,1
23026,40.0,10, <=50K, Female,0
10430,30.0,9, <=50K, Female,0
18782,30.0,9, <=50K, Male,0
22126,30.0,9, <=50K, Male,0
5949,20.0,10, <=50K, Female,0
21604,30.0,10, <=50K, Female,0
27921,40.0,10, <=50K, Male,0
10314,30.0,>12, <=50K, Male,0
7284,40.0,>12, <=50K, Female,0
21351,40.0,11, >50K, Female,1
31056,30.0,>12, >50K, Female,1
11955,40.0,9, >50K, Male,1
20344,>=70,9, <=50K, Male,0
6815,40.0,9, <=50K, Female,0
15524,40.0,10, >50K, Female,1
26152,20.0,10, <=50K, Male,0
29101,10.0,10, <=50K, Female,0
29611,40.0,6, <=50K, Male,0
1310,40.0,>12, <=50K, Male,0
19809,30.0,11, >50K, Female,1
25910,60.0,>12, <=50K, Male,0
30857,50.0,<6, <=50K, Male,0
25603,20.0,10, <=50K, Male,0
18552,10.0,10, <=50K, Male,0
15307,30.0,9, <=50K, Male,0
8034,40.0,10, <=50K, Male,0
