,Age (decade),Education Years,Income,Gender,Income Binary
13723,30.0,10, <=50K, Male,0
6915,60.0,12, <=50K, Male,0
6214,>=70,>12, <=50K, Male,0
9431,20.0,10, <=50K, Male,0
15978,20.0,10, <=50K, Male,0
15562,30.0,>12, >50K, Male,0
31523,40.0,11, >50K, Male,1
25179,20.0,<6, <=50K, Male,0
14165,40.0,7, <=50K, Male,0
13395,40.0,>12, >50K, Male,0
32078,20.0,>12, <=50K, Male,0
19174,20.0,11, <=50K, Male,0
9474,40.0,10, <=50K, Male,0
26875,20.0,10, <=50K, Male,0
12875,30.0,>12, >50K, Male,1
1652,20.0,9, <=50K, Male,0
4572,10.0,8, <=50K, Male,0
12753,50.0,9, <=50K, Female,0
7059,40.0,9, <=50K, Female,0
1832,40.0,10, <=50K, Male,0
22779,20.0,9, <=50K, Female,0
6237,50.0,<6, <=50K, Male,0
27537,40.0,>12, <=50K, Male,0
16945,20.0,12, >50K, Female,1
11204,40.0,>12, >50K, Male,1
16113,50.0,>12, >50K, Male,1
19087,30.0,>12, <=50K, Male,0
30282,30.0,>12, <=50K, Female,0
14041,60.0,>12, <=50K, Male,0
11940,20.0,10, <=50K, Male,0
28887,30.0,9, >50K, Male,1
25824,30.0,>12, <=50K, Male,0
24024,40.0,11, <=50K, Female,1
125,40.0,>12, >50K, Female,1
14500,60.0,9, <=50K, Male,0
21975,50.0,9, <=50K, Male,0
21544,20.0,11, <=50K, Female,0
19461,10.0,9, <=50K, Female,0
8941,40.0,11, <=50K, Female,0
29325,20.0,10, <=50K, Female,0
27445,50.0,10, <=50K, Male,0
8317,10.0,9, <=50K, Female,0
22845,40.0,>12, >50K, Male,0
31489,20.0,11, >50K, Female,1
7804,40.0,12, <=50K, Female,1
15371,50.0,9, <=50K, Male,0
18723,20.0,>12, <=50K, Female,0
18706,>=70,9, <=50K, Male,0
3958,40.0,10, >50K, Male,1
30671,50.0,9, <=50K, Male,0
6368,20.0,9, <=50K, Male,0
21092,30.0,12, <=50K, Female,1
28365,50.0,9, <=50K, Male,0
20188,50.0,9, <=50K, Female,0
29157,30.0,9, >50K, Male,1
2101,50.0,11, <=50K, Male,0
2567,20.0,>12, <=50K, Male,0
13197,40.0,>12, >50K, Male,1
23907,40.0,9, <=50K, Male,0
14414,30.0,9, <=50K, Male,0
7510,60.0,9, <=50K, Male,0
28573,20.0,9, <=50K, Male,0
6239,50.0,10, <=50K, Female,1
4294,20.0,>12, <=50K, Female,0
17856,50.0,9, <=50K, Male,0
8407,30.0,>12, <=50K, Male,0
17638,50.0,>12, >50K, Male,1
4534,20.0,9, <=50K, Female,0
7122,30.0,<6, <=50K, Male,0
23102,20.0,10, <=50K, Female,0
9901,20.0,>12, <=50K, Female,1
23705,30.0,11, <=50K, Male,0
17217,20.0,10, <=50K, Male,0
2216,20.0,10, <=50K, Female,0
17989,50.0,9, <=50K, Male,0
142,10.0,10, <=50K, Male,0
16344,20.0,10, <=50K, Male,0
9373,40.0,>12, <=50K, Male,0
5065,30.0,<6, <=50K, Male,0
23059,30.0,10, <=50K, Female,0
28707,20.0,9, <=50K, Male,0
8550,30.0,>12, >50K, Male,1
9264,10.0,8, <=50K, Male,0
31870,40.0,9, <=50K, Male,0
14078,60.0,9, <=50K, Male,0
5510,20.0,<6, <=50K, Male,0
23589,50.0,>12, >50K, Male,1
14370,20.0,12, <=50K, Male,0
22,30.0,<6, <=50K, Male,0
9824,60.0,>12, >50K, Female,1
11272,40.0,10, >50K, Male,0
32197,20.0,10, <=50K, Female,0
19329,30.0,9, <=50K, Male,0
11518,40.0,9, <=50K, Male,0
10629,30.0,>12, <=50K, Female,0
10512,30.0,9, >50K, Male,1
4568,20.0,10, <=50K, Male,0
20281,30.0,9, <=50K, Male,0
24995,40.0,6, <=50K, Male,0
1029,40.0,>12, <=50K, Male,0
28608,50.0,11, <=50K, Male,0
22912,20.0,10, >50K, Male,1
30451,40.0,9, >50K, Male,1
23199,30.0,9, <=50K, Male,0
16468,20.0,10, >50K, Male,1
24342,40.0,>12, <=50K, Male,0
1704,20.0,10, <=50K, Female,0
14775,40.0,9, <=50K, Male,0
