id,race,age_cat,c_charge_degree,priors_count,is_recid
3236,African-American,25 to 45,F,More than 3,1
9136,African-American,25 to 45,F,More than 3,0
753,African-American,Greater than 45,M,0,0
5112,African-American,25 to 45,F,More than 3,1
3342,African-American,25 to 45,M,0,1
7515,African-American,Less than 25,F,1 to 3,1
2745,Caucasian,25 to 45,F,0,0
3681,African-American,Greater than 45,F,More than 3,0
7383,Caucasian,Less than 25,F,1 to 3,1
5433,African-American,Less than 25,F,1 to 3,1
2955,African-American,25 to 45,M,1 to 3,0
5003,African-American,25 to 45,F,More than 3,1
10729,African-American,25 to 45,F,0,0
2968,African-American,25 to 45,M,More than 3,1
7661,Caucasian,Greater than 45,F,More than 3,1
1237,African-American,25 to 45,M,0,0
7871,African-American,Less than 25,F,1 to 3,1
5567,African-American,Less than 25,F,0,0
10092,African-American,Greater than 45,F,More than 3,0
5814,Caucasian,25 to 45,M,0,1
5404,African-American,25 to 45,M,1 to 3,0
7380,African-American,Greater than 45,M,0,0
5593,Caucasian,25 to 45,M,More than 3,1
8746,Caucasian,25 to 45,F,1 to 3,0
9227,Caucasian,25 to 45,F,1 to 3,0
10133,Caucasian,25 to 45,M,0,0
26,African-American,Less than 25,F,1 to 3,1
9031,African-American,25 to 45,F,More than 3,1
64,African-American,25 to 45,F,0,1
3470,African-American,Less than 25,F,1 to 3,1
9506,African-American,Less than 25,M,0,1
823,African-American,25 to 45,F,1 to 3,1
5014,African-American,25 to 45,F,1 to 3,1
9811,African-American,25 to 45,F,1 to 3,1
9238,African-American,25 to 45,F,0,0
2788,Caucasian,Greater than 45,F,0,0
10921,African-American,25 to 45,M,1 to 3,0
1692,Caucasian,Greater than 45,M,1 to 3,0
158,Caucasian,25 to 45,M,0,0
6563,Caucasian,25 to 45,M,More than 3,1
7477,African-American,Less than 25,F,1 to 3,0
4480,Caucasian,25 to 45,F,More than 3,1
9843,African-American,25 to 45,F,More than 3,0
184,African-American,25 to 45,F,1 to 3,0
2327,African-American,Greater than 45,F,More than 3,1
5463,African-American,Less than 25,F,1 to 3,1
331,Caucasian,25 to 45,F,More than 3,1
8188,Caucasian,25 to 45,M,1 to 3,0
7299,African-American,25 to 45,F,More than 3,1
2430,African-American,Greater than 45,F,More than 3,1
4731,African-American,Less than 25,F,0,1
3223,Caucasian,Greater than 45,F,More than 3,1
3521,African-American,Less than 25,F,1 to 3,0
3129,African-American,Greater than 45,F,1 to 3,0
1699,Caucasian,25 to 45,F,1 to 3,0
5106,Caucasian,25 to 45,M,1 to 3,1
3208,African-American,25 to 45,M,0,0
6658,African-American,25 to 45,F,0,0
2156,Caucasian,Greater than 45,F,1 to 3,1
