id,race,age_cat,c_charge_degree,priors_count,is_recid
6420,African-American,Less than 25,M,More than 3,1
3611,Caucasian,Greater than 45,F,More than 3,0
3929,African-American,Less than 25,F,0,1
4496,African-American,Less than 25,F,0,0
349,Caucasian,25 to 45,F,1 to 3,0
993,Caucasian,25 to 45,F,1 to 3,1
7547,Caucasian,Greater than 45,F,0,0
3458,Caucasian,25 to 45,M,1 to 3,0
9843,African-American,25 to 45,F,More than 3,1
10672,African-American,Greater than 45,M,More than 3,0
3958,Caucasian,25 to 45,F,0,0
2099,African-American,25 to 45,F,1 to 3,0
9654,African-American,Greater than 45,F,1 to 3,1
8416,African-American,Less than 25,F,0,0
5942,Caucasian,25 to 45,F,1 to 3,1
8422,Caucasian,25 to 45,F,1 to 3,1
6838,Caucasian,25 to 45,F,1 to 3,1
2951,African-American,25 to 45,F,0,0
5938,African-American,25 to 45,M,More than 3,1
7988,African-American,25 to 45,F,More than 3,1
8132,African-American,Less than 25,F,1 to 3,0
5963,Caucasian,Less than 25,F,1 to 3,1
5138,Caucasian,Less than 25,F,0,1
10748,Caucasian,25 to 45,M,1 to 3,0
4631,African-American,25 to 45,F,More than 3,1
837,Caucasian,Greater than 45,F,1 to 3,1
1452,Caucasian,Less than 25,M,0,1
7930,Caucasian,Less than 25,M,More than 3,1
2571,African-American,Less than 25,F,More than 3,1
3960,African-American,25 to 45,F,0,0
5556,African-American,Greater than 45,F,More than 3,1
7645,African-American,Greater than 45,F,0,1
67,African-American,25 to 45,F,More than 3,1
5183,African-American,Less than 25,M,1 to 3,0
10909,Caucasian,25 to 45,F,More than 3,1
4634,Caucasian,25 to 45,M,0,1
8093,African-American,25 to 45,M,1 to 3,0
1255,African-American,25 to 45,F,1 to 3,1
1770,African-American,Less than 25,F,1 to 3,1
79,African-American,25 to 45,F,More than 3,1
831,Caucasian,Greater than 45,M,1 to 3,0
2792,African-American,25 to 45,M,More than 3,0
2079,African-American,25 to 45,M,1 to 3,0
